MIESIAC_KAMPANII,TYP_KAMPANII,PACKET_ID,DECYL,CZY_MNP_SHORT,CZY_MNP_LONG,CZY_RETENCJA,CZY_DNOT,CZY_CHURN,DATA_EOP,N,KAT,ZGODA,rok_eop,msc_eop
201607,campaign,A1009,,6,6,15.0,102.0,2.0,2016-12-01,125,OK,BRAK,2016.0,12.0
201607,campaign,A1009,5.0,4,4,21.0,24.0,2.0,2016-08-01,52,OK,BRAK,2016.0,8.0
201607,campaign,A1009,6.0,1,1,18.0,48.0,1.0,2016-10-01,68,OK,BRAK,2016.0,10.0
201607,campaign,A1009,6.0,4,4,16.0,26.0,1.0,2016-08-01,47,OK,TAK,2016.0,8.0
201607,campaign,A1009,6.0,6,6,24.0,70.0,4.0,2016-09-01,104,OK,BRAK,2016.0,9.0
201607,campaign,A1009,6.0,13,13,51.0,58.0,4.0,2016-08-01,128,OK,BRAK,2016.0,8.0
201607,campaign,A1009,7.0,2,2,19.0,78.0,1.0,2016-10-01,100,OK,BRAK,2016.0,10.0
201607,campaign,A1009,7.0,3,3,2.0,9.0,2.0,2016-05-01,15,OK,BRAK,2016.0,5.0
201607,campaign,A1009,7.0,5,5,9.0,23.0,2.0,2016-08-01,39,OK,TAK,2016.0,8.0
201607,campaign,A1009,7.0,10,10,50.0,125.0,2.0,2016-09-01,187,OK,BRAK,2016.0,9.0
201607,campaign,A1009,7.0,17,17,32.0,46.0,7.0,2016-08-01,102,OK,BRAK,2016.0,8.0
201607,campaign,A1009,8.0,0,0,2.0,2.0,1.0,2016-09-01,5,OK,BRAK,2016.0,9.0
201607,campaign,A1009,8.0,1,1,1.0,,1.0,2016-07-01,2,OK,BRAK,2016.0,7.0
201607,campaign,A1009,8.0,10,10,58.0,142.0,3.0,2016-09-01,213,OK,BRAK,2016.0,9.0
201607,campaign,A1009,8.0,12,12,32.0,30.0,1.0,2016-08-01,78,OK,BRAK,2016.0,8.0
201607,campaign,A1009,9.0,8,8,73.0,248.0,6.0,2016-10-01,336,OK,BRAK,2016.0,10.0
